Gene1	Gene2	Gene1_scaffold	Gene1_start	Gene1_end	Gene1_strand	Gene2_scaffold	Gene2_start	Gene2_end	Gene2_strand	Original_line		Duplication_Type
Fes_sc0000231.1.g000023.aua.1	Fes_sc0007348.1.g000004.aua.1	Fes_sc0000231.1.g000023.aua.1	108183	109781	+	Fes_sc0007348.1.g000004.aua.1	11573	15470	+	Fes_sc0000231.1.g000023.aua.1	['Fes_sc0007348.1.g000004.aua.1', '51.157', '432', '198', '7', '23', '445', '21', '448', '1.45e-155', '440']	Segmental
Fes_sc0000231.1.g000023.aua.1	Fes_sc0000499.1.g000001.aua.1	Fes_sc0000231.1.g000023.aua.1	108183	109781	+	Fes_sc0000499.1.g000001.aua.1	5199	9012	+	Fes_sc0000231.1.g000023.aua.1	['Fes_sc0000499.1.g000001.aua.1', '48.380', '432', '211', '7', '20', '445', '4', '429', '1.34e-146', '416']	Segmental
Fes_sc0000231.1.g000023.aua.1	Fes_sc0008411.1.g000003.aua.1	Fes_sc0000231.1.g000023.aua.1	108183	109781	+	Fes_sc0008411.1.g000003.aua.1	16741	18057	+	Fes_sc0000231.1.g000023.aua.1	['Fes_sc0008411.1.g000003.aua.1', '46.789', '436', '207', '7', '25', '445', '8', '433', '6.56e-138', '394']	Segmental
Fes_sc0000231.1.g000023.aua.1	Fes_sc0010474.1.g000002.auf.1	Fes_sc0000231.1.g000023.aua.1	108183	109781	+	Fes_sc0010474.1.g000002.auf.1	3917	7977	+	Fes_sc0000231.1.g000023.aua.1	['Fes_sc0010474.1.g000002.auf.1', '43.932', '412', '219', '5', '26', '434', '5', '407', '3.31e-127', '366']	Segmental
Fes_sc0008411.1.g000001.aua.1	Fes_sc0007348.1.g000004.aua.1	Fes_sc0008411.1.g000001.aua.1	3048	4403	+	Fes_sc0007348.1.g000004.aua.1	11573	15470	+	Fes_sc0008411.1.g000001.aua.1	['Fes_sc0007348.1.g000004.aua.1', '52.656', '433', '196', '8', '9', '435', '24', '453', '7.15e-161', '453']	Segmental
Fes_sc0000499.1.g000001.aua.1	Fes_sc0008411.1.g000001.aua.1	Fes_sc0000499.1.g000001.aua.1	5199	9012	+	Fes_sc0008411.1.g000001.aua.1	3048	4403	+	Fes_sc0000499.1.g000001.aua.1	['Fes_sc0008411.1.g000001.aua.1', '51.501', '433', '204', '5', '9', '437', '8', '438', '1.11e-163', '459']	Segmental
Fes_sc0008411.1.g000003.aua.1	Fes_sc0008411.1.g000001.aua.1	Fes_sc0008411.1.g000003.aua.1	16741	18057	+	Fes_sc0008411.1.g000001.aua.1	3048	4403	+	Fes_sc0008411.1.g000003.aua.1	['Fes_sc0008411.1.g000001.aua.1', '49.772', '438', '207', '5', '1', '433', '1', '430', '1.24e-156', '441']	Segmental
Fes_sc0008411.1.g000001.aua.1	Fes_sc0010474.1.g000002.auf.1	Fes_sc0008411.1.g000001.aua.1	3048	4403	+	Fes_sc0010474.1.g000002.auf.1	3917	7977	+	Fes_sc0008411.1.g000001.aua.1	['Fes_sc0010474.1.g000002.auf.1', '43.318', '434', '227', '5', '9', '439', '5', '422', '2.83e-129', '372']	Segmental
Fes_sc0008411.1.g000003.aua.1	Fes_sc0007348.1.g000004.aua.1	Fes_sc0008411.1.g000003.aua.1	16741	18057	+	Fes_sc0007348.1.g000004.aua.1	11573	15470	+	Fes_sc0008411.1.g000003.aua.1	['Fes_sc0007348.1.g000004.aua.1', '48.624', '436', '212', '6', '5', '434', '20', '449', '4.21e-144', '410']	Segmental
Fes_sc0000499.1.g000001.aua.1	Fes_sc0008411.1.g000003.aua.1	Fes_sc0000499.1.g000001.aua.1	5199	9012	+	Fes_sc0008411.1.g000003.aua.1	16741	18057	+	Fes_sc0000499.1.g000001.aua.1	['Fes_sc0008411.1.g000003.aua.1', '48.055', '437', '210', '8', '9', '434', '8', '438', '8.70e-141', '400']	Segmental
Fes_sc0008411.1.g000003.aua.1	Fes_sc0010474.1.g000002.auf.1	Fes_sc0008411.1.g000003.aua.1	16741	18057	+	Fes_sc0010474.1.g000002.auf.1	3917	7977	+	Fes_sc0008411.1.g000003.aua.1	['Fes_sc0010474.1.g000002.auf.1', '43.529', '425', '218', '8', '9', '428', '5', '412', '3.53e-116', '337']	Segmental
Fes_sc0000499.1.g000001.aua.1	Fes_sc0007348.1.g000004.aua.1	Fes_sc0000499.1.g000001.aua.1	5199	9012	+	Fes_sc0007348.1.g000004.aua.1	11573	15470	+	Fes_sc0000499.1.g000001.aua.1	['Fes_sc0007348.1.g000004.aua.1', '67.647', '442', '136', '4', '4', '439', '18', '458', '0.0', '        629']	Segmental
Fes_sc0007348.1.g000004.aua.1	Fes_sc0010474.1.g000002.auf.1	Fes_sc0007348.1.g000004.aua.1	11573	15470	+	Fes_sc0010474.1.g000002.auf.1	3917	7977	+	Fes_sc0007348.1.g000004.aua.1	['Fes_sc0010474.1.g000002.auf.1', '51.651', '424', '187', '4', '23', '443', '4', '412', '1.97e-157', '444']	Segmental
Fes_sc0000499.1.g000001.aua.1	Fes_sc0010474.1.g000002.auf.1	Fes_sc0000499.1.g000001.aua.1	5199	9012	+	Fes_sc0010474.1.g000002.auf.1	3917	7977	+	Fes_sc0000499.1.g000001.aua.1	['Fes_sc0010474.1.g000002.auf.1', '49.767', '430', '201', '3', '10', '437', '5', '421', '4.97e-161', '452']	Segmental
